Date,Revenue,Expenses,Cash Flow,Overdue Invoices
2024-09-01,42000,14000,28000,3000
2024-09-02,44000,15000,29000,3000
2024-09-03,43000,14500,28500,2500
2024-09-04,46000,16000,30000,2500
2024-09-05,45000,15500,29500,2000
2024-09-08,47000,16500,30500,2000
2024-09-09,48000,17000,31000,1500
2024-09-10,49000,17500,31500,1500
2024-09-11,50000,18000,32000,1000
2024-09-12,51000,18500,32500,1000
2024-09-15,52000,19000,33000,500
2024-09-16,53000,19500,33500,500
2024-09-17,54000,20000,34000,1000
2024-09-18,55000,20500,34500,1500
2024-09-19,56000,21000,35000,2000
2024-09-22,55000,20000,35000,2000
2024-09-23,57000,21500,35500,1500
2024-09-24,58000,22000,36000,1000
2024-09-25,57000,21500,35500,500
2024-09-26,59000,22500,36500,0
